origin,destination,distance,duration,elevation_change
CBD-13,UW-07,6.217438226,36.85,26.505531311
CBD-13,UW-10,5.755138202,34.55,28.496717453
CBD-13,WF-01,0.961260937,6.98333333333,39.1646387577
CBD-13,WF-04,0.538728657,3.43333333333,37.2721552849
CBD-13,CBD-05,0.513252446,3.78333333333,32.6475076675
CBD-13,CD-01,1.421696848,15.5166666667,-22.5828323364
CBD-13,SLU-20,0.848792786,7.51666666667,2.5422706604
CBD-13,CBD-04,0.280859692,4.11666666667,1.16851806641
CBD-13,SLU-21,1.458357737,10.8666666667,31.1049890518
CBD-03,BT-01,1.194275062,9.95,11.1418113708
CBD-03,BT-03,1.199867401,9.3,14.6777610779
CBD-03,BT-04,0.600865757,4.56666666667,14.2195358276
CBD-03,BT-05,0.780441976,8.81666666667,4.21033477783
CBD-03,CBD-13,0.469135105,4.6,6.03321075439
CBD-03,CBD-07,0.814617381,8.85,16.9607543945
CBD-03,SLU-16,0.294529854,3.0,-0.259174346924
CBD-03,CBD-06,0.502689139,3.66666666667,23.1883163452
CBD-03,CH-01,0.861841577,8.85,-33.769317627
CBD-03,CH-02,1.316685149,13.4833333333,-55.1452026367
CBD-03,CH-03,1.193653691,11.6666666667,-36.0468063354
CBD-03,CH-05,1.582631937,16.1833333333,-79.8058013916
CBD-03,CH-06,1.244606113,12.75,-58.3812561035
CBD-03,CH-07,1.255790791,14.5833333333,-76.0075683594
CBD-03,CH-08,0.972445615,10.7166666667,-46.7619781494
CBD-03,CH-09,0.791626654,9.01666666667,-44.0308227539
CBD-03,CH-12,0.571039949,6.15,-23.0278167725
CBD-03,CH-15,1.631720246,15.4333333333,-69.5702362061
CBD-03,DPD-01,1.237149661,8.05,35.9582366943
CBD-03,DPD-03,7.863450005,45.9,27.1403121948
CBD-03,EL-01,1.371987168,10.45,39.4783344269
CBD-03,EL-03,1.931842439,13.0166666667,39.8753318787
CBD-03,EL-05,3.080136047,20.0166666667,28.278591156
CBD-03,FH-01,0.719547618,8.35,-49.1015548706
CBD-03,FH-04,1.300529503,12.7166666667,-37.1086273193
CBD-03,ID-04,1.24895571,12.0333333333,32.0913848877
CBD-03,PS-05,1.060680297,9.35,36.8704767227
CBD-03,PS-04,0.958154082,8.45,40.3568382263
CBD-03,SLU-01,0.969960131,8.56666666667,9.88228988647
CBD-03,SLU-02,1.465814189,10.4833333333,30.0645923615
CBD-03,SLU-04,1.234664177,8.46666666667,36.1144571304
CBD-03,SLU-07,0.885453675,6.06666666667,27.8539409637
CBD-03,SLU-15,0.356666954,3.06666666667,16.90001297
CBD-03,SLU-17,1.535407741,10.6333333333,40.0216283798
CBD-03,SLU-18,0.809646413,5.55,14.5751800537
CBD-03,SLU-19,1.737974687,13.5,10.6584625244
CBD-03,UD-01,6.90964552,38.8666666667,33.5834121704
CBD-03,UD-02,5.624650292,34.3833333333,1.49017333984
CBD-03,UD-04,3.751838098,25.6833333333,18.6500205994
CBD-03,UD-07,4.180584088,30.4833333333,-16.9217910767
CBD-03,UW-01,6.279575326,38.4,-8.18053817749
CBD-03,UW-02,5.901781758,38.6333333333,-16.0689163208
CBD-03,UW-04,5.52398819,33.55,13.9478149414
CBD-03,UW-06,5.868227724,35.3666666667,9.00784683228
CBD-03,UW-07,6.038483378,35.0833333333,32.5387420654
CBD-03,UW-10,5.576183354,32.7833333333,34.5299282074
CBD-03,WF-01,1.411754912,10.6333333333,45.1978495121
CBD-03,WF-04,1.066894007,8.53333333333,43.3053660393
CBD-03,CBD-05,0.672323422,5.58333333333,38.6807184219
CBD-03,CD-01,1.786441625,14.5166666667,-16.549621582
CBD-03,SLU-20,0.548049222,5.08333333333,8.57548141479
CBD-03,CBD-04,0.181440332,1.76666666667,7.2017288208
CBD-03,SLU-21,1.279402889,9.08333333333,37.1381998062
CBD-07,BT-01,1.48507669,13.3,-5.81894302368
CBD-07,BT-03,1.490047658,12.65,-2.28299331665
CBD-07,BT-04,1.134623446,10.4333333333,-2.74121856689
CBD-07,BT-05,1.070622233,12.1666666667,-12.7504196167
CBD-07,CBD-13,0.759936733,7.93333333333,-10.9275436401
CBD-07,CBD-03,0.649954066,7.81666666667,-16.9607543945
CBD-07,SLU-16,0.951940372,9.91666666667,-17.2199287415
CBD-07,CBD-06,0.396434698,4.8,6.22756195068
CBD-07,CH-01,1.519252095,15.75,-50.7300720215
CBD-07,CH-02,1.614943229,18.0333333333,-72.1059570312
CBD-07,CH-03,1.850442838,18.5666666667,-53.00756073
CBD-07,CH-05,1.880890017,20.9,-96.7665557861
CBD-07,CH-06,1.542864193,17.4833333333,-75.342010498
CBD-07,CH-07,1.554048871,19.3,-92.9683227539
CBD-07,CH-08,1.270703695,15.45,-63.7227325439
CBD-07,CH-09,1.449037172,15.9333333333,-60.9915771484
CBD-07,CH-12,1.228450467,13.05,-39.988571167
CBD-07,CH-15,1.933085181,20.1166666667,-86.5309906006
CBD-07,DPD-01,1.77090735,13.9333333333,18.9974822998
CBD-07,DPD-03,8.397207694,51.7833333333,10.1795578003
CBD-07,EL-01,1.954833166,16.8833333333,22.5175800323
CBD-07,EL-03,2.560669891,21.3666666667,22.9145774841
CBD-07,EL-05,3.737546565,26.9333333333,11.3178367615
CBD-07,FH-01,0.589681079,9.18333333333,-66.0623092651
CBD-07,FH-04,1.02526215,13.65,-54.0693817139
CBD-07,ID-04,0.597758902,6.0,15.1306304932
CBD-07,PS-05,0.40389115,4.31666666667,19.9097223282
CBD-07,PS-04,0.308821387,3.18333333333,23.3960838318
CBD-07,SLU-01,1.5534275,15.0,-7.07846450806
CBD-07,SLU-02,1.999571878,16.3666666667,13.1038379669
CBD-07,SLU-04,1.768421866,14.3333333333,19.1537027359
CBD-07,SLU-07,1.419211364,11.9333333333,10.8931865692
CBD-07,SLU-15,0.891046014,8.93333333333,-0.0607414245606
CBD-07,SLU-17,2.06916543,16.5,23.0608739853
CBD-07,SLU-18,1.343404102,11.4166666667,-2.38557434082
CBD-07,SLU-19,2.028154944,16.8666666667,-6.30229187012
CBD-07,UD-01,7.443403209,44.7333333333,16.6226577759
CBD-07,UD-02,6.158407981,40.25,-15.4705810547
CBD-07,UD-04,5.817896673,37.6166666667,1.68926620483
CBD-07,UD-07,4.837373235,37.3833333333,-33.8825454712
CBD-07,UW-01,6.813333015,44.2666666667,-25.141292572
CBD-07,UW-02,6.435539447,44.5,-33.0296707153
CBD-07,UW-04,6.057745879,39.4333333333,-3.01293945312
CBD-07,UW-06,6.401985413,41.2333333333,-7.95290756226
CBD-07,UW-07,6.572241067,40.95,15.5779876709
CBD-07,UW-10,6.109941043,38.65,17.5691738129
CBD-07,WF-01,1.626749278,11.7333333333,28.2370951176
CBD-07,WF-04,0.809646413,6.35,26.3446116447
CBD-07,CBD-05,0.344860905,4.08333333333,21.7199640274
CBD-07,CD-01,0.828908914,11.6666666667,-33.5103759766
CBD-07,SLU-20,1.203595627,11.6166666667,-8.38527297974
CBD-07,CBD-04,0.474106073,5.53333333333,-9.75902557373
CBD-07,SLU-21,1.813160578,14.9666666667,20.1774454117
SLU-16,BT-01,1.177498045,8.91666666667,11.4009857178
SLU-16,BT-03,1.183090384,8.26666666667,14.9369354248
SLU-16,BT-04,0.58408874,3.55,14.4787101746
SLU-16,BT-05,0.763664959,7.8,4.46950912476
SLU-16,CBD-13,0.452358088,3.58333333333,6.29238510132
SLU-16,CBD-03,0.292665741,2.43333333333,0.259174346924
SLU-16,CBD-07,1.229693209,11.3166666667,17.2199287415
SLU-16,CBD-06,0.796597622,5.45,23.4474906921
SLU-16,CH-01,0.567311723,5.83333333333,-33.51014328
SLU-16,CH-02,1.021533924,10.4666666667,-54.8860282898
SLU-16,CH-03,0.898502466,8.66666666667,-35.7876319885
SLU-16,CH-05,1.287480712,13.1666666667,-79.5466270447
SLU-16,CH-06,0.950076259,9.75,-58.1220817566
SLU-16,CH-07,0.960639566,11.5666666667,-75.7483940125
